id,address,categories,primaryCategories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.description,menus.name,name,postalCode,priceRangeMin,priceRangeMax,province
AVwdUCT-_7pvs4fz4j3w,3860 N Long Lake Rd,Pizza Place,Accommodation & Food Services,Traverse City,US,us/mi/traversecity/3860nlonglakerd/206725212,44.757113,-85.652529,,10.49,10.49,,Sauce and Cheese Pizza,Thats a Pizza,49684,0,25,MI
AVwdUCT-_7pvs4fz4j3w,3860 N Long Lake Rd,Pizza Place,Accommodation & Food Services,Traverse City,US,us/mi/traversecity/3860nlonglakerd/206725212,44.757113,-85.652529,,4.85,4.85,,Sauce and Cheese Pizza,Thats a Pizza,49684,0,25,MI
AV1h2sbCa4HuVbed7cM1,1612 Franklin St,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Michigan City,US,us/in/michigancity/1612franklinst/-900142234,41.707275,-86.896541,http://www.citysearch.com/profile/menu/3995988?singlePlatformId=albanos-villa,12.05,12.05,taco meat covered with cheese tomatoes and topped with shredded lettuce,Taco Pizza,Albanos Villa,46360,0,25,IN
AV1h2sbCa4HuVbed7cM1,1612 Franklin St,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Michigan City,US,us/in/michigancity/1612franklinst/-900142234,41.707275,-86.896541,http://www.citysearch.com/profile/menu/3995988?singlePlatformId=albanos-villa,1.75,1.75,,Pizza Sauce,Albanos Villa,46360,0,25,IN
AVzBAZ_fLD2H7whiWJVU,1237 Greeley Ave,"American Restaurant,Pizza Place",Accommodation & Food Services,Warminster,US,us/pa/warminster/1237greeleyave/-1002138912,40.213458,-75.070133,,12.99,12.99,,Gluten Free Tomato Pie Or Cheese Pizza,Tonys Place Bar and Grille,18974,25,40,PA
AVzBAZ_fLD2H7whiWJVU,1237 Greeley Ave,"American Restaurant,Pizza Place",Accommodation & Food Services,Warminster,US,us/pa/warminster/1237greeleyave/-1002138912,40.213458,-75.070133,,9.25,9.25,,Tony's Cheese Pizza,Tonys Place Bar and Grille,18974,25,40,PA
AVzBAZ_fLD2H7whiWJVU,1237 Greeley Ave,"American Restaurant,Pizza Place",Accommodation & Food Services,Warminster,US,us/pa/warminster/1237greeleyave/-1002138912,40.213458,-75.070133,,5.95,5.95,,Kids Cheese Pizza,Tonys Place Bar and Grille,18974,25,40,PA
AVwcu-Fk_7pvs4fzyYOQ,121 E Seneca St,"Pizza,Pizza Place,Restaurants",Accommodation & Food Services,Sherrill,US,us/ny/sherrill/121esenecast/118894484,43.076696,-75.597597,http://www.citysearch.com/profile/menu/7687514?singlePlatformId=sherrill-new-york-pizzeria,1.5,1.5,"Pepperoni, sausage or ham",Pizza Rolls,Sherrill New York Pizzeria,13461,0,25,NY
AVwdE0JU_7pvs4fz2AYn,1321 E Colorado St,Pizza Place,Accommodation & Food Services,Glendale,US,us/ca/glendale/1321ecoloradost/-66718652,34.142767,-118.236607,,12,12,,Supreme Pizza,Pizza Boy,91205,0,25,CA
AVweELF0ByjofQCxu91y,550 Grant St,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,Denver,US,us/co/denver/550grantst/273941150,39.725069,-104.983255,,19.99,19.99,,Plain Pizza 24'',Cosmos Pizza,80203,0,25,CO
AVweELF0ByjofQCxu91y,550 Grant St,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,Denver,US,us/co/denver/550grantst/273941150,39.725069,-104.983255,,11.99,11.99,,Plain Pizza 16'',Cosmos Pizza,80203,0,25,CO
AVwdzigvIN2L1WUfzXzz,22 Newbridge Rd,"Pizza,Restaurant,Italian Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Hicksville,US,us/ny/hicksville/22newbridgerd/-419087985,40.767099,-73.527878,,1.75,1.75,,Pizza Slice,Piazza Pizza,11801,0,25,NY
AVwd95bD_7pvs4fz-2aw,3348 Genesee St,Pizza Place,Accommodation & Food Services,Buffalo,US,us/ny/buffalo/3348geneseest/1670701308,42.925755,-78.761238,,22.49,22.49,Sheet,Cheese Pizza,Macys Place Pizzeria,14225,0,25,NY
AVwd95bD_7pvs4fz-2aw,3348 Genesee St,Pizza Place,Accommodation & Food Services,Buffalo,US,us/ny/buffalo/3348geneseest/1670701308,42.925755,-78.761238,,22.49,22.49,,Cheese Pizza,Macys Place Pizzeria,14225,0,25,NY
AVwd95bD_7pvs4fz-2aw,3348 Genesee St,Pizza Place,Accommodation & Food Services,Buffalo,US,us/ny/buffalo/3348geneseest/1670701308,42.925755,-78.761238,,7.99,5.49,,Pizza Sub,Macys Place Pizzeria,14225,0,25,NY
